player_id,player_name,poss,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans,net_rapm_full,net_rapm_reconstructed,residual,absresid
1628244,Sami Whitcomb,1516,-0.002965659,-0.002045019,0.002922407,-0.00750966,-0.002511736,0.002594896,0.002093743,-0.000580408,-1.07,-0.232906571,-0.837093429,
203024,Damiris Dantas,406,0.000536258,0.000359374,-0.006199556,-0.003096366,-0.000668881,-0.00068744,0.004996599,0.005523243,-0.308,-0.266023313,-0.041976687,
1641650,Haley Jones,1522,-6.03E-05,0.005081596,-0.001768084,-0.00974978,0.00086181,-0.002916914,0.008366054,-0.002522604,-1.232,-0.271472471,-0.960527529,
1630996,Rae Burrell,1436,-0.000366232,-0.000479208,0.005000722,-0.00540226,-0.006313884,0.000112988,0.004595815,-0.008784171,-0.162,-0.363226048,0.201226048,
1627701,Temi Fagbenle,901,-0.000353463,0.001610002,0.008466341,-0.00515266,0.001014218,-0.00114352,-0.009196647,0.000144571,0.849,-0.381326482,1.230326482,
1642286,Caitlin Clark,2803,0.003752641,0.000116104,-0.002384972,0.004437672,-0.003921076,-0.004331831,-0.001821388,-0.013024639,-2.087,-0.394532004,-1.692467996,
1627671,Rachel Banham,1400,-0.004016282,-0.006321392,0.007989792,0.005360851,-0.003862755,-0.004573063,-0.00068242,-0.010415819,-0.351,-0.450510437,0.099510437,
1641648,Aliyah Boston,2562,0.002637244,0.00103892,0.004838124,0.003352405,-0.003448273,-0.0071744,-0.001268596,-0.010110464,-0.36,-0.515244357,0.155244357,
1628929,Kristy Wallace,968,-0.001740355,-0.001381581,-0.002881431,0.001782389,-0.000100745,-0.000456005,-0.00371795,-0.000629653,-0.862,-0.520044766,-0.341955234,
1629501,Alanna Smith,2128,-4.78E-05,0.002930107,-0.003515672,0.007825653,-0.002053147,0.000360419,0.001295413,-0.000229097,-1.029,-0.565550028,-0.463449972,
