game_id,poss_id,off_team,def_team,points,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5
1022001002,168,1611661317,1611661320,2,203829,1628278,1629482,1629488,1629501,203029,204334,1628282,1629485,1630099
1022001002,169,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203829,1628278,1629482,1629488,1629501
1022001002,170,1611661317,1611661320,0,203829,1628278,1629482,1629488,1629501,203029,204334,1628282,1629485,1630099
1022001002,171,1611661320,1611661317,2,203029,204334,1628282,1629485,1630099,203829,1628278,1629482,1629488,1629501
1022001002,172,1611661317,1611661320,2,203829,1628278,1629482,1629488,1629501,203029,204334,1628282,1629485,1630099
1022001002,173,1611661320,1611661317,1,203029,204334,1628282,1629485,1630099,203829,1628278,1629482,1629488,1629501
1022001002,174,1611661317,1611661320,0,203829,1628278,1629482,1629488,1629501,203029,204334,1628282,1629485,1630099
1022001002,175,1611661320,1611661317,0,203029,204334,1628282,1629485,1630099,203829,1628278,1629482,1629488,1629501
1022001003,0,1611661325,1611661322,0,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,1,1611661322,1611661325,2,201507,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,2,1611661325,1611661322,0,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,3,1611661322,1611661325,2,201507,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,4,1611661325,1611661322,2,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,5,1611661322,1611661325,3,201507,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,6,1611661325,1611661322,2,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,7,1611661322,1611661325,1,201507,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,8,1611661325,1611661322,2,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,9,1611661322,1611661325,3,201507,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,10,1611661325,1611661322,2,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,11,1611661322,1611661325,0,201507,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,12,1611661325,1611661322,2,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,13,1611661322,1611661325,2,201507,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,14,1611661325,1611661322,2,200676,203831,1627676,1627700,1628909,201507,203416,1627672,1628878,1628899
1022001003,15,1611661322,1611661325,0,203403,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,16,1611661325,1611661322,3,200676,203831,1627676,1627700,1628909,203403,203416,1627672,1628878,1628899
1022001003,17,1611661322,1611661325,0,203403,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,18,1611661322,1611661325,2,203403,203416,1627672,1628878,1628899,200676,203831,1627676,1627700,1628909
1022001003,19,1611661325,1611661322,2,200676,203831,1627676,1627700,1628909,203403,203416,1627672,1628878,1628899
1022001003,20,1611661322,1611661325,0,203416,1628268,1628878,1628899,1629506,200676,1627700,1628909,1628927,1629479
1022001003,21,1611661325,1611661322,0,200676,1627700,1628909,1628927,1629479,201507,203416,1628268,1628878,1628899
1022001003,22,1611661322,1611661325,2,201507,203416,1628268,1628878,1628899,200676,1627700,1628909,1628927,1629479
1022001003,23,1611661325,1611661322,0,200676,1627700,1628909,1628927,1629479,201507,203416,1628268,1628878,1628899
1022001003,24,1611661322,1611661325,2,201507,203416,1628268,1628878,1628899,200676,1627700,1628909,1628927,1629479
1022001003,25,1611661325,1611661322,2,200676,1627700,1628909,1628927,1629479,201507,203416,1628268,1628878,1628899
1022001003,26,1611661322,1611661325,3,201507,203416,1628268,1628878,1628899,200676,1627700,1628909,1628927,1629479
